item_id,item_type,source_table,source_id,item_label,current_value,knowledge_status,knowledge_method,evidence_level,recommended_sources,rationale,direct_expert_validation,optional_expert_review
KVI-0001,ingredient_master,ingredients_master.csv,1,Niacinamide,group=active; function=skin conditioning,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0002,ingredient_master,ingredients_master.csv,2,Glycerin,group=humectant; function=humectant,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0003,ingredient_master,ingredients_master.csv,3,Hyaluronic Acid,group=humectant; function=humectant,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0004,ingredient_master,ingredients_master.csv,4,Sodium Hyaluronate,group=humectant; function=humectant,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0005,ingredient_master,ingredients_master.csv,5,Beta-Glucan,group=soothing_agent; function=skin conditioning,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0006,ingredient_master,ingredients_master.csv,6,Aloe Barbadensis Leaf Juice,group=soothing_agent; function=skin conditioning,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0007,ingredient_master,ingredients_master.csv,7,Urea,group=humectant; function=humectant,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0008,ingredient_master,ingredients_master.csv,8,Sodium PCA,group=humectant; function=humectant,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0009,ingredient_master,ingredients_master.csv,9,Ceramide NP,group=barrier_support; function=skin conditioning,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0010,ingredient_master,ingredients_master.csv,10,Ceramide AP,group=barrier_support; function=skin conditioning,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0011,ingredient_master,ingredients_master.csv,11,Ceramide EOP,group=barrier_support; function=skin conditioning,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0012,ingredient_master,ingredients_master.csv,12,Cholesterol,group=barrier_support; function=skin conditioning,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0013,ingredient_master,ingredients_master.csv,13,Linoleic Acid,group=emollient; function=skin conditioning,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0014,ingredient_master,ingredients_master.csv,14,Panthenol,group=barrier_support; function=skin conditioning,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0015,ingredient_master,ingredients_master.csv,15,Squalane,group=emollient; function=emollient,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0016,ingredient_master,ingredients_master.csv,16,Allantoin,group=soothing_agent; function=skin protectant,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
