id,ingredient_id,benefit_tag,strength_score,evidence_note,source
1,1,oil_control,8,Curated seed: Niacinamide mendukung tag oil_control.,manual_seed;openbeautyfacts
2,1,brightening,7,Curated seed: Niacinamide mendukung tag brightening.,manual_seed;openbeautyfacts
3,1,barrier_repair,6,Curated seed: Niacinamide mendukung tag barrier_repair.,manual_seed;openbeautyfacts
4,1,basic_support,5,Curated seed: Niacinamide mendukung tag basic_support.,manual_seed;openbeautyfacts
5,2,hydrating,9,Curated seed: Glycerin mendukung tag hydrating.,manual_seed;openbeautyfacts
6,2,basic_support,7,Curated seed: Glycerin mendukung tag basic_support.,manual_seed;openbeautyfacts
7,3,hydrating,9,Curated seed: Hyaluronic Acid mendukung tag hydrating.,manual_seed;openbeautyfacts
8,3,basic_support,6,Curated seed: Hyaluronic Acid mendukung tag basic_support.,manual_seed;openbeautyfacts
9,4,hydrating,9,Curated seed: Sodium Hyaluronate mendukung tag hydrating.,manual_seed;openbeautyfacts
10,4,basic_support,6,Curated seed: Sodium Hyaluronate mendukung tag basic_support.,manual_seed;openbeautyfacts
11,5,hydrating,8,Curated seed: Beta-Glucan mendukung tag hydrating.,manual_seed
12,5,soothing,8,Curated seed: Beta-Glucan mendukung tag soothing.,manual_seed
13,5,barrier_repair,5,Curated seed: Beta-Glucan mendukung tag barrier_repair.,manual_seed
14,6,hydrating,7,Curated seed: Aloe Barbadensis Leaf Juice mendukung tag hydrating.,manual_seed;openbeautyfacts
15,6,soothing,7,Curated seed: Aloe Barbadensis Leaf Juice mendukung tag soothing.,manual_seed;openbeautyfacts
16,7,hydrating,8,Curated seed: Urea mendukung tag hydrating.,manual_seed;openbeautyfacts
17,7,basic_support,5,Curated seed: Urea mendukung tag basic_support.,manual_seed;openbeautyfacts
18,8,hydrating,8,Curated seed: Sodium PCA mendukung tag hydrating.,manual_seed;openbeautyfacts
19,8,basic_support,6,Curated seed: Sodium PCA mendukung tag basic_support.,manual_seed;openbeautyfacts
20,9,barrier_repair,9,Curated seed: Ceramide NP mendukung tag barrier_repair.,manual_seed;openbeautyfacts
21,9,basic_support,7,Curated seed: Ceramide NP mendukung tag basic_support.,manual_seed;openbeautyfacts
22,10,barrier_repair,9,Curated seed: Ceramide AP mendukung tag barrier_repair.,manual_seed;openbeautyfacts
23,10,basic_support,7,Curated seed: Ceramide AP mendukung tag basic_support.,manual_seed;openbeautyfacts
24,11,barrier_repair,9,Curated seed: Ceramide EOP mendukung tag barrier_repair.,manual_seed;openbeautyfacts
25,11,basic_support,7,Curated seed: Ceramide EOP mendukung tag basic_support.,manual_seed;openbeautyfacts
26,12,barrier_repair,8,Curated seed: Cholesterol mendukung tag barrier_repair.,manual_seed;openbeautyfacts
27,12,basic_support,6,Curated seed: Cholesterol mendukung tag basic_support.,manual_seed;openbeautyfacts
28,13,barrier_repair,7,Curated seed: Linoleic Acid mendukung tag barrier_repair.,manual_seed
29,13,basic_support,5,Curated seed: Linoleic Acid mendukung tag basic_support.,manual_seed
30,14,hydrating,7,Curated seed: Panthenol mendukung tag hydrating.,manual_seed;openbeautyfacts
31,14,soothing,8,Curated seed: Panthenol mendukung tag soothing.,manual_seed;openbeautyfacts
32,14,barrier_repair,8,Curated seed: Panthenol mendukung tag barrier_repair.,manual_seed;openbeautyfacts
33,15,barrier_repair,7,Curated seed: Squalane mendukung tag barrier_repair.,manual_seed;openbeautyfacts
34,15,basic_support,6,Curated seed: Squalane mendukung tag basic_support.,manual_seed;openbeautyfacts
35,16,soothing,8,Curated seed: Allantoin mendukung tag soothing.,manual_seed;openbeautyfacts
36,16,barrier_repair,5,Curated seed: Allantoin mendukung tag barrier_repair.,manual_seed;openbeautyfacts
37,17,soothing,8,Curated seed: Centella Asiatica Extract mendukung tag soothing.,manual_seed
38,17,barrier_repair,6,Curated seed: Centella Asiatica Extract mendukung tag barrier_repair.,manual_seed
